odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
598,Chestnut House,,Nursing and residential care facilities,Province of British Columbia,4576 55b st delta bc v4k 3w5,V4K 3W5,delta,BC,Delta,5915011.0,49.0860239,-123.0685534,https://www.statcan.gc.ca/en/lode/databases/odhf
599,Chetwynd General Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,5500 hospital rd. chetwynd bc v0c 1j0,V0C 1J0,chetwynd,BC,Chetwynd,5955010.0,55.696217000000004,-121.644705,https://www.statcan.gc.ca/en/lode/databases/odhf
601,Chetwynd Multilevel Care Unit,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V0C 1J0,chetwynd,BC,Chetwynd,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
602,Chetwynd Primary Care Clinic,,Ambulatory health care services,Province of British Columbia,5125 50th street sw chetwynd bc v0c 1j0,V0C 1J0,chetwynd,BC,Chetwynd,5955010.0,55.695609999999995,-121.6306,https://www.statcan.gc.ca/en/lode/databases/odhf
607,Chilliwack General Hospital,general,Hospitals,Public Health Agency of Canada,45600 menholm rd. chilliwack bc v2p 1p7,V2P 1P7,chilliwack,BC,Chilliwack,5909020.0,49.1669926,-121.96306799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
608,Chilliwack Lifestyles Willow Manor,,Nursing and residential care facilities,Province of British Columbia,6980 vedder rd chilliwack bc v2r 4e1,V2R 4E1,chilliwack,BC,Chilliwack,5909020.0,49.128984,-121.959427,https://www.statcan.gc.ca/en/lode/databases/odhf
609,Chopra Addiction & Wellness Center,,Nursing and residential care facilities,Province of British Columbia,3501 paradise valley rd squamish bc v0n 1t0,V0N 1T0,squamish,BC,Squamish,5931006.0,49.831259,-123.15100000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
610,Christel House,,Nursing and residential care facilities,Province of British Columbia,11753 82nd ave delta bc v4c 2c3,V4C 2C3,delta,BC,Delta,5915011.0,49.152412,-122.897278,https://www.statcan.gc.ca/en/lode/databases/odhf
611,Christenson Village,,Nursing and residential care facilities,Province of British Columbia,585 shaw road gibsons bc v0n 1v8,V0N 1V8,gibsons,BC,Gibsons,5929005.0,49.4045,-123.51899999999999,https://www.statcan.gc.ca/en/lode/databases/odhf
612,City View,,Nursing and residential care facilities,Province of British Columbia,1020 95 ave dawson creek bc v1g 1j1,V1G 1J1,dawson creek,BC,Dawson Creek,5955014.0,55.767858999999994,-120.2317,https://www.statcan.gc.ca/en/lode/databases/odhf
