canonical_name,place_type,source_datasets,aliases,notes
Port Hardy Physicians,organization,bc_msp_blue_book,Port Hardy Physicians,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2023/2024, total payments $407,282.54."
Port McNeil Health Care Centre,organization,bc_msp_blue_book,Port McNeil Health Care Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2021/2022 to 2021/2022, total payments $47,618.17."
Port McNeill Health Care Centre,organization,bc_msp_blue_book,Port McNeill Health Care Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2022/2023 to 2024/2025, total payments $140,491.10."
Port McNeill Medical Collaborative,organization,bc_msp_blue_book,Port Mcneill Medical Collaborative|Port McNeill Medical Collaborative,"Imported from MSP Blue Book payee names; address not verified. Seen 8 row(s), 2016/2017 to 2023/2024, total payments $332,582.55. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $128,862.71."
Powell River Division Of Family Practice,organization,bc_msp_blue_book,Powell River Division of Family Practice|Powell River Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $80,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $763,510.00."
Prince George Division Of Family Practice,organization,bc_msp_blue_book,Prince George Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $767,100.00."
Prince Rupert Division Of Family Practice,organization,bc_msp_blue_book,Prince Rupert Division Of Family Practice|Prince Rupert Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $226,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $962,705.00."
Providence Health Care,organization,bc_msp_blue_book,Providence Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $257,298.27."
Providence Health Care Society,organization,bc_msp_blue_book,Providence Health Care Society,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2019/2020, total payments $55,504,329.61."
Provincial Health Services Authority,organization,bc_msp_blue_book,Provincial Health Services Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $2,218,929,539.34."
Quadra Island Health Society,organization,bc_msp_blue_book,Quadra Island Health Society,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2019/2020 to 2019/2020, total payments $40,816.24."
Quesnel Division Of Family Practice,organization,bc_msp_blue_book,Quesnel Division of Family Practice|Quesnel Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $80,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $763,510.00."
Rem Tek Enterprises Ltd.,organization,bc_msp_blue_book,Rem Tek Enterprises Ltd.,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $111,391,770.19."
Robert Lewis MD Inc.,organization,bc_msp_blue_book,Robert Lewis MD Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $43,489.45."
Rural Coordination Centre of BC,organization,bc_msp_blue_book,Rural Coordination Centre of BC,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $77,962,418.56."
Rural Health Programs,organization,bc_msp_blue_book,Rural Health Programs,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $76,258,602.33."
Rutland Medical Associates,organization,bc_msp_blue_book,Rutland Medical Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2017/2018 to 2020/2021, total payments $339,872.00."
Salt Spring Chapter Division of Family Practice,organization,bc_msp_blue_book,Salt Spring Chapter Division of Family Practice|Salt Spring Chapter-Division Of Family Practice|Salt Spring Chapter-Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $281,270.00. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $80,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2015/2016 to 2020/2021, total payments $482,240.00."
